Overall Satisfaction,How likely are you to recommend our events to a friend or colleague?,Which sessions did you attend?,Please rate the following aspects of the event [Venue],Please rate the following aspects of the event [Speakers],Please rate the following aspects of the event [Content Relevance],What did you like most about the event?,What could be improved?,Any additional comments?,Preferred Time Slot,Preferred Venue,Pacing,Event Discovery Channel,One-Word Description
3,5,"Poster Session",3,3,3,,"As a virtual attendee, I felt completely excluded from the poster session. There was no virtual equivalent.",If a session is a core part of the workshop, there must be a hybrid-friendly way to participate.,Afternoon (1-3 PM),Online,N/A,Call for Papers (CFP),Excluding
5,10,"Paper Session A: NLP Advances",5,5,5,The quality of the research and the clarity of the presentation were outstanding.,,A model presentation. I will be using this as an example for my own students.,Morning (9-11 AM),In-Person,Just Right,Friend Referral,Exemplary
4,7,"Networking Lunch",4,4,4,"The online 'networking' breakout rooms were a good attempt.",The random breakout rooms are not as effective as organic conversation. It felt a bit forced.,,Afternoon (1-3 PM),Online,Just Right,Twitter (Academic Circle),Awkward
3,6,"Keynote: The Future of AI in Research",3,4,3,,"It was hard to feel the 'energy' of the room as a remote attendee. Maybe a camera facing the audience would help?",,Morning (9-11 AM),Online,Just Right,University Mailing List,Distant
5,9,"Methodology Clinic",5,5,5,The speaker provided their code and datasets, which is fantastic for reproducibility.,,This is how academic workshops should be—open and collaborative.,Afternoon (1-3 PM),In-Person,Just Right,Advisor Recommendation,Collaborative
4,8,"Paper Session B: Computer Vision",4,4,5,The content was highly relevant to my dissertation work.,The final 10 minutes were very rushed, and there was no time for questions.,Even one or two questions would have been very valuable.,Afternoon (1-3 PM),In-Person,A Bit Fast,Call for Papers (CFP),Relevant
2,3,"Networking Lunch",2,2,2,"I attended in person.",The options for dietary restrictions were very limited, despite me indicating my needs on the registration form.,This is an inclusivity issue that is easy to get right.,Afternoon (1-3 PM),In-Person,Just Right,Friend Referral,Lacking
4,8,"Doctoral Consortium",4,5,4,The online format worked surprisingly well for the small group discussions.,,I was skeptical about a virtual consortium, but it was well-managed.,Afternoon (1-3 PM),Online,Just Right,University Mailing List,Effective
3,7,"Paper Session A: NLP Advances",4,4,3,"The topic was interesting.",The speaker assumed a lot of prior knowledge, making it difficult for newcomers to the sub-field to follow.,A brief introduction with key definitions would have been helpful.,Morning (9-11 AM),In-Person,Too Fast,Twitter (Academic Circle),Dense
5,9,"Keynote: The Future of AI in Research",5,5,4,"A very inspiring and forward-looking talk.",,It provided a great high-level context for the more specific sessions that followed.,Morning (9-11 AM),In-Person,Just Right,Call for Papers (CFP),Visionary
4,8,"Poster Session",4,4,4,"The physical layout was spacious and well-organized.",The time allocated was too short to see all the posters I was interested in.,,Afternoon (1-3 PM),In-Person,A Bit Fast,Friend Referral,Hasty
2,2,"Paper Session B: Computer Vision",3,2,2,,"The speaker's audio was very poor. It kept cutting in and out, making the talk impossible to follow.",A basic microphone check before the session starts is essential for hybrid events.,Afternoon (1-3 PM),Online,Just Right,University Mailing List,Inaudible
5,10,"All sessions",5,5,5,"The seamless integration between in-person and virtual was the best I've ever seen.",I honestly can't think of anything. It was a masterclass in hybrid events.,Whatever your tech setup is, please write a blog post about it!,Morning (9-11 AM),Online,Just Right,Twitter (Academic Circle),Seamless
